scope,bin_index,time_lower,time_upper,time_center,count,bandwidth,rmse,relative_rmse,cosine_similarity,sigma_weighted_rmse,sigma_weighted_relative_rmse,sigma_weighted_cosine_similarity,effective_neighbor_count_mean,effective_neighbor_count_min,effective_neighbor_count_p10,raw_teacher_oracle_mse,rao_blackwell_oracle_mse,variance_reduction_fraction,raw_teacher_oracle_sigma_weighted_mse,rao_blackwell_oracle_sigma_weighted_mse,sigma_weighted_variance_reduction_fraction
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,"space=0.4,time=0.06",18.225775329346284,1.0282615786873794,0.6869098916370588,0.5908200246097943,0.7583795068110398,0.6952414276912249,147.49534500091028,13.777270241282196,85.44934176713444,484.36698776033245,332.1788863558076,0.314199987317646,3.137616998566833,0.1606544876998114,0.9487972919380644
time_bin,0,0.001,0.1009,0.05095,387,"space=0.4,time=0.06",59.201798776873495,1.0299206245076125,0.15238801346707564,9.591766470686983,1.0912022058426536,0.24837186798516117,149.073515293126,13.777270241282196,64.0856356808988,5038.777688005297,3504.85297841742,0.3044239703700974,1.2686374226711157,0.8041171840084006,0.3661568204594655
time_bin,1,0.1009,0.2008,0.15085,408,"space=0.4,time=0.06",2.8972592681078884,0.794956146390562,0.678355152058156,2.6149254626225464,0.7572350038659416,0.7107320203011024,194.51723033621366,37.437184197616546,99.57580644244271,29.135432202871666,8.394111266637056,0.7118933673162178,1.3839567981626182,0.38065308029967543,0.7249530635244017
time_bin,2,0.2008,0.3007,0.25075000000000003,409,"space=0.4,time=0.06",1.1571807508961185,0.5793506700830074,0.7836239018571575,1.1042128003727645,0.572877567304922,0.7815332414234193,173.5474375338974,46.484425825126394,93.86892525079942,11.464422018180935,1.3390672902445044,0.883198011469491,1.631713660914001,0.17859668578995413,0.8905465530052747
time_bin,3,0.3007,0.4006,0.35065,391,"space=0.4,time=0.06",0.5583673710444398,0.4538022288874422,0.8555966236636505,0.5406840551177525,0.4474824030081327,0.859835794462015,161.93621807344678,44.13296748154198,88.44841741349764,6.776879422694086,0.3117741210470791,0.953994441815953,1.7864949246016317,0.07808749260338621,0.956290112504126
time_bin,4,0.4006,0.5005,0.45055,408,"space=0.4,time=0.06",0.2875234540527659,0.3580573720547299,0.9342752212962736,0.28283843097933115,0.35650882540700307,0.9348495491006303,150.03772617807914,56.957360579182215,91.79260540529057,4.999887979634956,0.082669736630433,0.9834656822709205,2.0032174137675467,0.03163271814638144,0.9842090440253418
time_bin,5,0.5005,0.6004,0.55045,409,"space=0.4,time=0.06",0.19350625307875172,0.3663799739456496,0.8971645702257118,0.19307249751449115,0.36782975652269234,0.896987143314132,142.906757704692,69.30725893041311,89.92449778352113,5.251212558806623,0.0374446699805779,0.9928693288473965,2.7971983371680307,0.019832855003772857,0.9929097430563506
time_bin,6,0.6004,0.7003,0.65035,447,"space=0.4,time=0.06",0.18586779230425174,0.49869168021241506,0.8471830409026634,0.18579283245885794,0.5005709458896792,0.84651317752529,144.30911529905808,70.3402765548553,102.74195784974543,4.6527879970367,0.03454683621605646,0.9925750246596644,3.052431315055758,0.022507950024881145,0.9926262223034715
time_bin,7,0.7003,0.8002,0.7502500000000001,417,"space=0.4,time=0.06",0.21682396245815366,0.8477587610337304,0.7287351471893402,0.2175630657431228,0.8539404176664006,0.7250587599206791,139.78208397852643,83.1352858081056,104.62200574971878,5.6677631449866235,0.04701263069605483,0.9917052584219769,4.284009630839551,0.03571232610359846,0.9916638081849415
time_bin,8,0.8002,0.9001,0.85015,398,"space=0.4,time=0.06",0.21997731854315003,1.2464346251101304,0.5758910869561504,0.21954088695019686,1.248315393192141,0.5754732103046808,128.44889946305,95.40036375496496,106.72146238324446,6.817652908436753,0.0483900206734345,0.9929022463812179,5.712806899477996,0.04021307289774676,0.9929608905858467
time_bin,9,0.9001,1.0,0.9500500000000001,422,"space=0.4,time=0.06",0.2616309239503529,2.3790255411002295,0.3860113018972832,0.2623357577126908,2.3901132674396472,0.3841826994654364,92.90584782971126,55.81245967187023,70.67278427889447,8.032872639468142,0.06845074036711535,0.9914786722814972,7.213836451354199,0.06158065684597463,0.9914635357793494
