scope,bin_index,time_lower,time_upper,time_center,count,regressor,rmse,relative_rmse,cosine_similarity,sigma_weighted_rmse,sigma_weighted_relative_rmse,sigma_weighted_cosine_similarity
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,marginal_xt_t,26.44143833804166,1.0616390980411405,0.3672531045239633,1.3435746110028528,0.8941444628943302,0.30566850808322793
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,transition_x0_xt_t,22.306938341906427,0.8956365231950856,0.6367241114851014,1.4653467416821706,0.9751834133851308,0.45044293871296254
time_bin,0,0.001,0.1009,0.05095,387,marginal_xt_t,85.70874200397785,1.063688789724239,0.35113982479866673,13.524703684801016,0.9153334414257996,0.4314873978447286
time_bin,0,0.001,0.1009,0.05095,387,transition_x0_xt_t,72.44572412058137,0.8990880370982564,0.9161504943101313,4.584217885438253,0.31025359454192236,0.9468609990294163
time_bin,1,0.1009,0.2008,0.15085,408,marginal_xt_t,5.5410390542207235,0.8413402527268347,0.5293727382734726,5.0569869165973795,0.8379778751381795,0.523909950002573
time_bin,1,0.1009,0.2008,0.15085,408,transition_x0_xt_t,1.593439876061983,0.2419447137824851,0.9415549434260644,1.496892836331914,0.2480455454970773,0.9350166872487734
time_bin,2,0.2008,0.3007,0.25075000000000003,409,marginal_xt_t,3.1633146244316808,0.8677317212656132,0.4798707010309567,3.10584891008622,0.8687053809871068,0.47969485023743796
time_bin,2,0.2008,0.3007,0.25075000000000003,409,transition_x0_xt_t,1.082863660264768,0.29704131879905676,0.934918418906272,1.0850052736375444,0.30347577969662326,0.9321502063438314
time_bin,3,0.3007,0.4006,0.35065,391,marginal_xt_t,2.285619968860141,0.9013131071942848,0.44426698570448825,2.2488931266213297,0.8988505749727925,0.4475368550024334
time_bin,3,0.3007,0.4006,0.35065,391,transition_x0_xt_t,1.1148316949793444,0.43962357377443323,0.8625870345078426,1.1130770086120811,0.4448810382924116,0.8582427064607169
time_bin,4,0.4006,0.5005,0.45055,408,marginal_xt_t,1.6222747461006766,0.9165933707298641,0.3935067310812792,1.617682140493528,0.9205234673094481,0.38867945249405855
time_bin,4,0.4006,0.5005,0.45055,408,transition_x0_xt_t,1.0275793539944236,0.5805874905185224,0.794371422943975,1.0292614339204877,0.5856894133920078,0.7891526908160794
time_bin,5,0.5005,0.6004,0.55045,409,marginal_xt_t,1.1415660863348376,0.9080995991689838,0.3972389867282893,1.1364249252528218,0.9085907528547368,0.3973594915627721
time_bin,5,0.5005,0.6004,0.55045,409,transition_x0_xt_t,1.2136911468180285,0.9654740598321514,0.6798732890060839,1.2181603734872088,0.9739396120674819,0.6784627000858918
time_bin,6,0.6004,0.7003,0.65035,447,marginal_xt_t,0.8220506638895955,0.9226817624262128,0.3862174755466374,0.8194311971047845,0.9232672618810177,0.3833424333423902
time_bin,6,0.6004,0.7003,0.65035,447,transition_x0_xt_t,1.2724602045198439,1.428228059044876,0.4985359177857881,1.280931273706115,1.4432473573265472,0.4947197613019222
time_bin,7,0.7003,0.8002,0.7502500000000001,417,marginal_xt_t,0.5661199558868945,0.9255117011430753,0.3923212250350713,0.5644830352113096,0.925885084282032,0.3912278531638553
time_bin,7,0.7003,0.8002,0.7502500000000001,417,transition_x0_xt_t,1.4867894566307662,2.4306527705637873,0.40215635698427765,1.4920533191474632,2.447318744725415,0.4009092301504279
time_bin,8,0.8002,0.9001,0.85015,398,marginal_xt_t,0.4207481766546869,0.9859051796819867,0.24534297005822905,0.4197119343826817,0.9863187262478756,0.2444223977335897
time_bin,8,0.8002,0.9001,0.85015,398,transition_x0_xt_t,1.636126044400199,3.833801858898175,0.2472627354194915,1.6380950358784228,3.849506475523373,0.24671200911763544
time_bin,9,0.9001,1.0,0.9500500000000001,422,marginal_xt_t,0.32432089662455754,1.2339381275541899,0.060457019526534886,0.3242455388990279,1.2364446517888539,0.05887876911483945
time_bin,9,0.9001,1.0,0.9500500000000001,422,transition_x0_xt_t,1.7535398108537956,6.6716627060312,0.13871350243509434,1.754545225528803,6.690602645738546,0.13777251213554775
