model,generated_count,s2_rbf_mmd,nearest_neighbor_geodesic_mean,nearest_neighbor_geodesic_median,nearest_neighbor_geodesic_max
Spectrum,16384,0.0024741527640976813,0.0873540858828642,0.06360504896329011,0.5186336408317909
Heat,16384,-0.00017932812438914425,0.01383922005863186,0.009593008657166325,0.277949174877489
Malliavin,16384,-3.971793247892208e-05,0.01410539509766573,0.009784240170365732,0.2779425749864333
