train/loss,train/teacher_norm,train/relative_loss,step,train/total_time
1.6432388,1.6128248,1.0188576,0,
1.5747719,1.6586114,0.949452,50,
1.7088401,1.8167678,0.9405936,100,
1.5467665,1.9409063,0.79693,150,
2.0180871,2.127767,0.948453,200,
2.6434808,2.8914475,0.9142413,250,
2.022139,1.8918562,1.0688651,300,
1.7211387,2.2878978,0.7522796,350,
2.0026677,2.2983053,0.8713671,400,
1.9697784,2.0501947,0.96077627,450,
1.480206,2.0150332,0.7345815,500,
1.6347965,1.9087036,0.85649574,550,
2.15394,2.3072212,0.9335646,600,
1.3654585,1.6193541,0.8432118,650,
1.3806655,1.5963213,0.8649045,700,
2.0958211,2.0625525,1.0161299,750,
2.2547903,2.0829966,1.0824744,800,
1.6330643,1.4979324,1.0902122,850,
1.4323587,1.9353504,0.74010307,900,
1.8170698,2.209468,0.8224016,950,
1.9993291,2.0742233,0.9638929,1000,
2.1288784,2.2450752,0.9482437,1050,
1.1850188,1.3321744,0.8895372,1100,
1.4263936,1.4945209,0.9544153,1150,
1.5072346,1.631078,0.9240727,1200,
2.0509686,2.1063962,0.9736861,1250,
2.011568,2.40465,0.8365326,1300,
2.3974452,2.7969804,0.85715485,1350,
1.1495142,1.6319432,0.70438373,1400,
1.6982745,1.8477094,0.91912425,1450,
2.0097077,2.4457479,0.821715,1500,
2.2461958,2.8421116,0.7903264,1550,
1.3260673,1.7640083,0.7517353,1600,
1.9875711,2.2171915,0.8964364,1650,
1.4640192,1.6932107,0.86464083,1700,
1.4511945,1.7506654,0.82893884,1750,
1.6751361,1.7894101,0.9361387,1800,
2.3207388,2.926753,0.7929397,1850,
2.6448512,2.572157,1.028262,1900,
1.2838573,1.3856523,0.92653644,1950,
,,,1999,0
