scope,bin_index,time_lower,time_upper,time_center,count,marginal_heat_oracle_numerator,marginal_heat_oracle_denominator,marginal_heat_oracle_ratio,marginal_heat_oracle_sigma_weighted_numerator,marginal_heat_oracle_sigma_weighted_denominator,marginal_heat_oracle_sigma_weighted_ratio
overall,-1,0.001021545147523284,0.4997514486312866,0.25038649688940495,4096,909.6439500111327,1934.0177819290675,0.47033897956156,1.569673787195578,2.0532108762589996,0.7644971092353606
time_bin,0,0.001,0.0509,0.02595,387,9402.663942937805,20140.633649356987,0.46685045300118083,1.3038845338731186,1.9777379973775127,0.6592807181786803
time_bin,1,0.0509,0.1008,0.07585,408,112.1922551436742,174.62795797298386,0.6424644509363527,1.3468662839151344,2.126465127651625,0.6333827251936773
time_bin,2,0.1008,0.1507,0.12575,409,37.9998015944761,54.712629070693566,0.6945343741100732,1.4257625477169587,2.0494778256296198,0.6956711231175381
time_bin,3,0.1507,0.2006,0.17565,391,18.81261582287579,28.091498587746088,0.6696907164783731,1.3615101239913883,2.0635631504622562,0.6597860196759852
time_bin,4,0.2006,0.2505,0.22555,408,12.546402764877316,16.434811870146426,0.763404099564633,1.4964587974125443,1.9460811841230612,0.7689601039934386
time_bin,5,0.2505,0.3004,0.27545,409,8.7296336694787,11.383176117286144,0.7668890977231964,1.4901329935181227,1.964134066497481,0.7586717278361083
time_bin,6,0.3004,0.3503,0.32535000000000003,447,7.5765021722670856,9.102363252111939,0.832366491436772,1.7676559356625552,2.1217155047293343,0.8331258000383024
time_bin,7,0.3503,0.4002,0.37525,417,5.673600353864617,6.533315490097869,0.8684105878217004,1.6797002044714178,1.9336865532449514,0.8686517434618178
time_bin,8,0.4002,0.4501,0.42515000000000003,398,5.5879806398478395,6.421701368473165,0.8701713627762068,2.026136837338945,2.3270981024346504,0.8706709985764913
time_bin,9,0.4501,0.5,0.47505,422,4.105746395862277,4.720511935781329,0.8697671869110593,1.760124407464626,2.0227692539592876,0.8701558001822852
