scope,bin_index,time_lower,time_upper,time_center,count,bandwidth,rmse,relative_rmse,cosine_similarity,sigma_weighted_rmse,sigma_weighted_relative_rmse,sigma_weighted_cosine_similarity,effective_neighbor_count_mean,effective_neighbor_count_min,effective_neighbor_count_p10,raw_teacher_oracle_mse,rao_blackwell_oracle_mse,variance_reduction_fraction,raw_teacher_oracle_sigma_weighted_mse,rao_blackwell_oracle_sigma_weighted_mse,sigma_weighted_variance_reduction_fraction
overall,-1,0.001021545147523284,0.4997514486312866,0.25038649688940495,4096,"space=0.1,time=0.03",27.640549713224917,1.1015015915310216,0.7177681867689837,1.4235734661586972,0.846806815151379,0.7399775235817364,18.354976238756805,1.0696343529581722,5.15508178736261,909.6439500111327,763.9999884492581,0.1601109550264046,1.569673787195578,0.3594928487536435,0.7709760783444795
time_bin,0,0.001,0.0509,0.02595,387,"space=0.1,time=0.03",89.5681279734517,1.1053368911179704,0.16696712761985805,25.054130274115433,1.482237269963831,0.2785897816511414,30.658471369901676,1.755810298498532,9.037663181084563,9402.663942937805,8022.44954866862,0.14678971860037338,1.3038845338731186,1.425758077436956,-0.09346957453902993
time_bin,1,0.0509,0.1008,0.07585,408,"space=0.1,time=0.03",6.833744406527234,0.9416674904457728,0.67800587379983,5.583613432975182,0.8198071034378268,0.7252005335221269,32.56573794532009,1.2526720866663037,8.19435283948828,112.1922551436742,46.70006261374227,0.5837496755032214,1.3468662839151344,0.45061083770512445,0.6654375866848166
time_bin,2,0.1008,0.1507,0.12575,409,"space=0.1,time=0.03",2.319194528469967,0.5313258405823632,0.8438074082563561,2.2633392243713493,0.5317078744853793,0.8438860484761835,23.10499925482795,1.2699801283462344,5.909767276235091,37.9998015944761,5.378663260885032,0.8584554909820512,1.4257625477169587,0.20090427552018394,0.8590899484400212
time_bin,3,0.1507,0.2006,0.17565,391,"space=0.1,time=0.03",1.5683138678161535,0.5054843409674308,0.8946339307004515,1.5514968815754209,0.5090360395567286,0.8943372225335151,18.509605993899562,1.0696343529581722,5.259091524035391,18.81261582287579,2.459608387984463,0.8692575019957511,1.3615101239913883,0.18127999642448384,0.8668537296207665
time_bin,4,0.2006,0.2505,0.22555,408,"space=0.1,time=0.03",1.2331378390231222,0.5559110260347487,0.8634336671998676,1.2405435663719537,0.5621824851116258,0.8603913863904402,16.496587815058298,1.0736859829783132,6.18791450996678,12.546402764877316,1.5206289300306157,0.8787996083566283,1.4964587974125443,0.18302057389081294,0.877697553060438
time_bin,5,0.2505,0.3004,0.27545,409,"space=0.1,time=0.03",1.1024276624971543,0.6368815431557308,0.7930399729373729,1.0992262970629023,0.639350372662042,0.7923760132412748,14.658281887665451,1.4570043704934128,5.750639423227703,8.7296336694787,1.2153467510389395,0.8607791809299018,1.4901329935181227,0.20994136758882057,0.8591123295080637
time_bin,6,0.3004,0.3503,0.32535000000000003,447,"space=0.1,time=0.03",0.9841977049008129,0.7336254174885146,0.82356333071852,0.9827608403730501,0.7357638198382929,0.8226483664794901,14.556919967081953,1.3306559627116934,5.178841139808958,7.5765021722670856,0.9686451223320276,0.8721514098419775,1.7676559356625552,0.2249991889674342,0.8727132451767362
time_bin,7,0.3503,0.4002,0.37525,417,"space=0.1,time=0.03",0.8767671797865341,0.8435728427245884,0.7381214629984123,0.8752216500052361,0.8456122642303006,0.7368477262704065,13.876540179188927,1.3928679623779272,5.666407911017479,5.673600353864617,0.7687206875508326,0.864509193765771,1.6797002044714178,0.22764798419588,0.864471063208432
time_bin,8,0.4002,0.4501,0.42515000000000003,398,"space=0.1,time=0.03",0.8250623440613246,0.9230313313826671,0.6985322438406153,0.8247550959603672,0.9266824651744443,0.6981909787892469,11.88533633761171,1.5988476759206052,4.818252674304784,5.5879806398478395,0.6807278715879677,0.8781799876836539,2.026136837338945,0.24700673687696606,0.8780898056311568
time_bin,9,0.4501,0.5,0.47505,422,"space=0.1,time=0.03",0.8414719101405334,1.2272302383652443,0.6474813841867357,0.8430411987661834,1.2326935836703414,0.6440866851689616,8.515315332441112,1.3935037939255257,3.4491080747039073,4.105746395862277,0.7080749755555579,0.8275404992026414,1.760124407464626,0.30678635499280976,0.8257018924635335
overall,-1,0.001021545147523284,0.4997514486312866,0.25038649688940495,4096,"space=0.1,time=0.06",26.41225383073454,1.0525528591985813,0.7443230538239722,1.544369052910447,0.9186615725862778,0.8163868907875279,32.12514130335532,1.2831931991001593,8.950034135994336,909.6439500111327,697.6071524191512,0.23309867294456854,1.569673787195578,0.4230899087922825,0.7304599786604156
time_bin,0,0.001,0.0509,0.02595,387,"space=0.1,time=0.06",84.98042009429406,1.0487211855177756,0.18440338759279118,24.05428672997371,1.4230851322106912,0.2896975257838217,45.17770765751426,1.8447451574775535,13.922764316336295,9402.663942937805,7221.6717994026985,0.23195470525998074,1.3038845338731186,1.3142323255470205,-0.007936118057787933
time_bin,1,0.0509,0.1008,0.07585,408,"space=0.1,time=0.06",11.625390065471565,1.6019404936991184,0.5246941623267622,10.198027500219409,1.4973127144440224,0.5669854050090164,49.83019057009624,1.2831931991001593,14.434233090958907,112.1922551436742,135.14969417436495,-0.20462588071917298,1.3468662839151344,1.503153399953822,-0.11603758052656055
time_bin,2,0.1008,0.1507,0.12575,409,"space=0.1,time=0.06",3.5304973916747575,0.8088344773488987,0.7786446786508013,3.340385774410739,0.7847296600298403,0.788919020288992,44.06055496358995,3.187100679813049,11.636100342563465,37.9998015944761,12.464411832622266,0.6719874497672627,1.4257625477169587,0.4376058613280074,0.6930724131031076
time_bin,3,0.1507,0.2006,0.17565,391,"space=0.1,time=0.06",1.4625475239241674,0.47139471660338583,0.9110976832617852,1.428944439603019,0.46882738013854686,0.9137238313140443,36.07345584586735,1.370034913315974,9.84412873390046,18.81261582287579,2.1390452597367133,0.8862972975826867,1.3615101239913883,0.15377252850081286,0.887057374997265
time_bin,4,0.2006,0.2505,0.22555,408,"space=0.1,time=0.06",0.9749486477634038,0.43951672388765456,0.9101085826097985,0.9797811427172367,0.4440116515127151,0.909170365553098,32.586020350665066,2.053556089650031,11.465898478600248,12.546402764877316,0.9505248657756897,0.9242392514546877,1.4964587974125443,0.11416527429891161,0.9237097113977302
time_bin,5,0.2505,0.3004,0.27545,409,"space=0.1,time=0.06",0.8961518535210654,0.5177143088731573,0.8575321680862473,0.8934603351112329,0.519669334456826,0.8563441041810689,28.66407584431638,2.5431887424863633,9.511223213452066,8.7296336694787,0.8030881445692412,0.9080043706235794,1.4901329935181227,0.13869932789661252,0.9069215113220424
time_bin,6,0.3004,0.3503,0.32535000000000003,447,"space=0.1,time=0.06",0.7594461755611646,0.5660946117144872,0.8518953917676384,0.7593654248616132,0.5685143146701128,0.8514469866425339,27.387307189219914,1.5346529879444049,10.704115468720282,7.5765021722670856,0.5767584935744792,0.9238753609911985,1.7676559356625552,0.13433429636864735,0.9240042743055996
time_bin,7,0.3503,0.4002,0.37525,417,"space=0.1,time=0.06",0.6343446810171353,0.6103284408560222,0.8408113426062007,0.6337060591435082,0.6122673216842807,0.8410335438961419,25.36493374660952,1.5020926989418915,10.143290327705616,5.673600353864617,0.40239317433473115,0.9290762217061341,1.6797002044714178,0.11934477886320852,0.928948762502382
time_bin,8,0.4002,0.4501,0.42515000000000003,398,"space=0.1,time=0.06",0.6554966946991327,0.733331233912315,0.7942990869870822,0.6554275198295294,0.7364285383548415,0.7937874189313512,19.91651437731248,2.8566744784594835,7.822867558019643,5.5879806398478395,0.42967591676148803,0.9231071215729446,2.026136837338945,0.15599408389646363,0.923009107651667
time_bin,9,0.4501,0.5,0.47505,422,"space=0.1,time=0.06",0.7279562529120085,1.0616752799644535,0.7559276456205536,0.7288561114125621,1.065732319217731,0.7545039291329129,13.933223258670848,1.8016826044532006,5.437534194430683,4.105746395862277,0.5299203061536921,0.870932041638748,1.760124407464626,0.22930949677998505,0.8697197229328286
overall,-1,0.001021545147523284,0.4997514486312866,0.25038649688940495,4096,"space=0.2,time=0.03",26.021854724049025,1.0369950920120397,0.7882492433393744,1.069457175016781,0.6361621973472453,0.8936964934679282,59.060668060361124,1.808335817741898,20.31934745208981,909.6439500111327,677.1369232795125,0.25560223506814794,1.569673787195578,0.20288843085600583,0.8707448444265988
