train/loss,step,train/total_time
2.609267,0,
2.0436378,50,
2.6986,100,
2.502506,150,
3.374166,200,
2.712778,250,
4.6633663,300,
2.0340915,350,
4.042433,400,
2.8541818,450,
3.582766,500,
4.2204475,550,
4.046341,600,
3.5767684,650,
3.551707,700,
3.032898,750,
7.8597164,800,
1.6521212,850,
5.815789,900,
4.516387,950,
3.142601,1000,
2.9891217,1050,
2.133462,1100,
3.6875157,1150,
2.0861382,1200,
2.4060447,1250,
2.992611,1300,
2.8783908,1350,
2.9318929,1400,
2.3929043,1450,
3.0554433,1500,
2.8368516,1550,
3.4649234,1600,
3.1786964,1650,
2.474332,1700,
1.8090913,1750,
2.1654735,1800,
4.0006676,1850,
3.6634235,1900,
3.003398,1950,
,1999,0
