train/loss,train/teacher_norm,train/relative_loss,step,train/total_time
1.8653469,1.8009083,1.0357813,0,
1.3558419,1.4338319,0.94560724,50,
2.0136664,2.0664725,0.97444624,100,
1.433326,1.7837493,0.8035468,150,
1.9165306,2.077421,0.9225529,200,
2.6808157,2.9079332,0.9218973,250,
2.1235309,2.0323908,1.0448438,300,
1.4450729,1.9171395,0.7537651,350,
2.048703,2.3035707,0.88935965,400,
1.884472,2.0384007,0.9244856,450,
1.5271842,2.0271878,0.7533511,500,
1.8073058,2.0198781,0.89475983,550,
2.092053,2.2527256,0.92867637,600,
1.4062417,1.6115365,0.87260926,650,
1.3081081,1.5568799,0.84021133,700,
1.7262833,1.8438326,0.9362473,750,
2.2315693,2.0681694,1.079007,800,
1.4174298,1.3498565,1.0500596,850,
1.4411838,1.9939756,0.72276896,900,
1.8596898,2.3280368,0.79882324,950,
1.7851717,1.920405,0.9295808,1000,
1.9870021,2.0751653,0.9575151,1050,
1.1562513,1.2650075,0.9140273,1100,
1.4232998,1.5360131,0.9266195,1150,
1.457034,1.5592756,0.93443006,1200,
2.0360475,2.042469,0.9968559,1250,
1.9596531,2.354788,0.83219934,1300,
2.2069087,2.6381435,0.8365385,1350,
1.1756251,1.5848224,0.7418024,1400,
1.773835,1.9633372,0.9034796,1450,
2.1787906,2.4520612,0.88855475,1500,
2.3180614,2.9154253,0.7951023,1550,
1.4464355,1.8448055,0.7840585,1600,
1.9915007,2.2377458,0.88995844,1650,
1.4824517,1.7265612,0.8586152,1700,
1.5332786,1.7486899,0.8768156,1750,
1.5754087,1.6509278,0.95425665,1800,
2.307142,2.8763664,0.802103,1850,
2.5983458,2.6009169,0.99901146,1900,
1.3973839,1.4239763,0.98132527,1950,
,,,1999,0
