train/loss,step,train/total_time
2.574737,0,
2.0351052,50,
2.289363,100,
1.7805607,150,
2.597102,200,
3.5057309,250,
2.581917,300,
2.095509,350,
2.7737226,400,
2.5938497,450,
1.9846152,500,
2.010766,550,
2.4698377,600,
1.6497521,650,
1.9191902,700,
2.1422288,750,
2.6268291,800,
1.8475599,850,
1.9276571,900,
1.8334734,950,
2.6208286,1000,
3.7856913,1050,
1.579102,1100,
2.2756295,1150,
1.8495473,1200,
2.5817933,1250,
1.898052,1300,
2.9517071,1350,
1.6504556,1400,
1.9823456,1450,
2.9413676,1500,
2.715345,1550,
1.9025958,1600,
2.6139162,1650,
1.4001379,1700,
1.9713275,1750,
1.7448156,1800,
3.355442,1850,
2.64015,1900,
1.7294263,1950,
,1999,0
