train/loss,step,train/total_time
7.8047533,0,
4.3753366,50,
6.494269,100,
3.5054157,150,
7.335235,200,
6.2959366,250,
4.583355,300,
4.5435433,350,
5.926921,400,
10.283386,450,
5.7567635,500,
5.804284,550,
4.313814,600,
2.380839,650,
4.9641576,700,
10.051119,750,
5.018119,800,
3.714677,850,
6.486974,900,
7.2739625,950,
6.137163,1000,
8.170023,1050,
4.627298,1100,
6.6419344,1150,
4.1051483,1200,
5.1670165,1250,
4.967806,1300,
2.9651456,1350,
7.755939,1400,
6.0632186,1450,
6.546012,1500,
6.7752004,1550,
7.7255955,1600,
6.1181636,1650,
3.1772225,1700,
4.963027,1750,
5.219588,1800,
12.593869,1850,
6.9465494,1900,
7.1666827,1950,
,1999,0
