train/loss,train/teacher_norm,train/relative_loss,step,train/total_time
1.8653469,1.8009083,1.0357813,0,
1.3558321,1.4338319,0.94560045,50,
2.0136971,2.066473,0.9744609,100,
1.4332802,1.7837492,0.80352116,150,
1.9164829,2.0774212,0.9225298,200,
2.680749,2.9079332,0.9218743,250,
2.1234517,2.032391,1.0448047,300,
1.445054,1.9171395,0.7537553,350,
2.0486875,2.3035707,0.8893529,400,
1.884419,2.0384007,0.9244596,450,
1.5271949,2.0271876,0.7533564,500,
1.8073739,2.0198781,0.8947935,550,
2.0920422,2.252726,0.92867136,600,
1.4062498,1.6115365,0.8726143,650,
1.3081238,1.5568799,0.84022146,700,
1.726248,1.8438321,0.93622845,750,
2.2315183,2.0681694,1.0789824,800,
1.4173756,1.3498565,1.0500194,850,
1.4411802,1.9939756,0.7227672,900,
1.8597151,2.3280368,0.7988341,950,
1.7851661,1.9204049,0.929578,1000,
1.9867222,2.0751653,0.95738024,1050,
1.1566836,1.2650077,0.91436875,1100,
1.4228389,1.5360131,0.9263195,1150,
1.4525492,1.5592756,0.9315539,1200,
2.0283575,2.042469,0.9930909,1250,
1.9869531,2.354788,0.84379274,1300,
2.2390985,2.6381435,0.8487402,1350,
1.2072823,1.5848224,0.76177764,1400,
1.8184577,1.9633372,0.9262076,1450,
2.1868167,2.4520612,0.89182794,1500,
2.281328,2.9154253,0.7825026,1550,
1.5299847,1.8448054,0.82934755,1600,
2.0020587,2.2377458,0.89467657,1650,
1.4714154,1.7265612,0.85222316,1700,
1.5856022,1.7486899,0.9067372,1750,
1.4432418,1.6509278,0.8742005,1800,
2.3024116,2.8763664,0.80045843,1850,
2.6814024,2.6009169,1.0309451,1900,
1.3659487,1.4239763,0.9592496,1950,
1.8168414,1.9880128,0.9138982,2000,
1.2184348,1.4171739,0.85976386,2050,
1.2038934,1.5354967,0.7840417,2100,
1.6239495,1.6476139,0.9856372,2150,
1.0768957,1.3779869,0.78149927,2200,
1.299046,1.7258842,0.7526843,2250,
1.5754437,1.7762263,0.88696116,2300,
1.5976003,1.7603563,0.9075438,2350,
2.125163,2.0301638,1.0467939,2400,
2.189869,2.3073447,0.9490862,2450,
2.5734315,3.0117805,0.8544552,2500,
1.8762946,2.090582,0.8974987,2550,
1.6082382,1.9435184,0.82748806,2600,
1.4831346,1.9036269,0.77910995,2650,
1.2923726,1.5160239,0.8524751,2700,
2.4003153,2.7245488,0.8809955,2750,
1.697025,1.9026726,0.8919164,2800,
1.5090308,1.5030205,1.0039988,2850,
2.225111,2.1175504,1.0507948,2900,
1.795066,2.0841038,0.86131316,2950,
1.5867999,1.3669126,1.1608641,3000,
1.536159,2.0004885,0.76789194,3050,
1.7926967,1.9484243,0.92007506,3100,
1.670774,2.0540195,0.8134168,3150,
1.4264065,1.7700162,0.8058721,3200,
1.4622105,1.5712552,0.9306003,3250,
1.0221725,1.4201114,0.7197833,3300,
2.185587,2.4111,0.9064688,3350,
1.0724992,1.5690076,0.68355256,3400,
1.3689795,1.6932309,0.8085013,3450,
0.78003526,1.205356,0.647141,3500,
1.75728,2.3261929,0.7554318,3550,
1.4326773,1.6753305,0.85516095,3600,
1.8897883,2.517579,0.7506371,3650,
1.1799185,1.4969862,0.788196,3700,
1.3926316,1.6399549,0.849189,3750,
2.2587752,2.7430408,0.8234567,3800,
1.4525743,2.089545,0.69516295,3850,
1.7984722,1.9185265,0.93742365,3900,
1.5797691,1.855768,0.8512752,3950,
1.1259642,1.3745152,0.8191719,4000,
1.7930386,2.0321612,0.8823309,4050,
1.4644136,1.8542906,0.78974336,4100,
2.0288315,2.413013,0.84078765,4150,
0.9990967,1.389595,0.71898407,4200,
1.2686048,1.6332439,0.7767393,4250,
1.8690908,2.3606482,0.79177016,4300,
1.784693,2.1972613,0.81223524,4350,
1.4097866,1.8551763,0.75992054,4400,
1.80305,2.1881175,0.82401884,4450,
1.4280291,1.6335273,0.87419975,4500,
1.3752947,1.8839473,0.730007,4550,
2.167714,2.4057424,0.90105826,4600,
1.4318717,2.132648,0.6714055,4650,
1.666336,1.8424349,0.90442055,4700,
0.840742,1.1996759,0.7008076,4750,
1.7295763,1.8725297,0.92365766,4800,
1.2574356,1.6648228,0.7552969,4850,
2.0774848,2.1965594,0.94579047,4900,
1.6110717,2.4371576,0.6610454,4950,
1.9067214,2.4953785,0.764101,5000,
2.1990137,2.9392948,0.74814326,5050,
1.4121255,1.6695398,0.84581715,5100,
1.1890178,1.1453686,1.0381093,5150,
1.5824063,1.7894415,0.8843018,5200,
1.554356,2.0533745,0.75697637,5250,
2.3542972,2.531645,0.92994756,5300,
1.6765512,2.277621,0.7360975,5350,
1.7389961,2.2848177,0.7611094,5400,
1.791976,2.116251,0.8467691,5450,
1.8357843,2.0789073,0.8830525,5500,
1.3173363,1.987987,0.6626483,5550,
1.2183111,1.6880808,0.7217137,5600,
2.495478,2.6003408,0.9596734,5650,
0.9907644,1.7370925,0.57035786,5700,
1.2386813,1.6300159,0.7599198,5750,
1.4190366,1.7624443,0.80515265,5800,
2.4881988,2.893611,0.8598941,5850,
2.4120831,2.5488567,0.94633925,5900,
1.3316693,1.9952333,0.66742533,5950,
1.6088436,1.9745214,0.8148018,6000,
1.4245038,1.616084,0.88145405,6050,
2.1541514,2.2446036,0.9597024,6100,
1.4785694,1.653011,0.89447045,6150,
1.4354174,1.5242391,0.9417272,6200,
1.3482575,1.713735,0.78673625,6250,
2.003711,2.134472,0.9387385,6300,
2.3270571,2.9171996,0.7977024,6350,
2.2281919,2.8030496,0.79491705,6400,
2.1001368,2.7771852,0.75621057,6450,
1.4108503,1.748228,0.8070173,6500,
1.3746945,1.5210336,0.90378964,6550,
1.5791595,1.4894487,1.060231,6600,
1.2327224,1.8168182,0.67850614,6650,
1.5853374,1.7896388,0.8858421,6700,
3.029252,3.1452577,0.9631173,6750,
0.95691395,1.1575938,0.8266405,6800,
2.118643,2.4176617,0.87631905,6850,
1.4722085,2.034082,0.7237705,6900,
2.4237924,2.3979223,1.0107886,6950,
2.2329879,2.3168588,0.9637998,7000,
1.5495466,1.7475679,0.8866875,7050,
1.6251566,1.8608752,0.87332916,7100,
1.740936,2.234446,0.7791354,7150,
1.1910279,1.4183102,0.83975136,7200,
2.0078068,2.245464,0.89416116,7250,
1.2673469,1.5203551,0.8335861,7300,
1.6556978,1.6491928,1.0039444,7350,
1.0198127,1.5775516,0.64645284,7400,
1.1987324,1.5656796,0.7656307,7450,
1.4824085,1.6702312,0.88754684,7500,
1.9789779,2.0286138,0.97553205,7550,
1.4488513,2.0292096,0.71399784,7600,
2.0871036,2.4988966,0.83521014,7650,
1.3325312,1.7226384,0.7735409,7700,
1.7133493,1.7642198,0.97116554,7750,
1.4984088,1.8073808,0.8290499,7800,
1.2920425,1.558311,0.82913005,7850,
2.0049865,2.4268386,0.8261722,7900,
1.4360914,1.7913733,0.8016707,7950,
1.9145577,2.306224,0.83016986,8000,
1.4389735,2.039412,0.70558256,8050,
1.0765108,1.5198228,0.70831335,8100,
2.036399,2.329358,0.87423176,8150,
1.0822823,1.3553607,0.79851973,8200,
1.650815,1.9341167,0.8535239,8250,
1.3928095,1.5465529,0.90058964,8300,
3.067883,3.1816854,0.96423197,8350,
1.2313333,1.7039981,0.7226142,8400,
1.754261,1.9883509,0.8822693,8450,
2.0097022,2.4874096,0.80794984,8500,
1.0302131,1.3892133,0.7415802,8550,
1.5364522,2.3265822,0.66039026,8600,
1.7090466,2.1602821,0.79112196,8650,
0.79251266,1.3348017,0.5937306,8700,
1.3948865,1.6462309,0.8473212,8750,
1.0087798,1.6284537,0.61947095,8800,
1.3557692,1.7881198,0.75820935,8850,
