train/loss,step,train/total_time
4.987546,0,
3.1577091,50,
4.872164,100,
2.311658,150,
5.915271,200,
5.2184443,250,
3.2171884,300,
3.2100022,350,
3.463084,400,
4.3490524,450,
3.6068263,500,
5.5714054,550,
3.220276,600,
1.8613199,650,
4.2755537,700,
5.3683853,750,
3.354963,800,
2.389228,850,
3.8872929,900,
4.008459,950,
4.3907814,1000,
5.34973,1050,
3.1568272,1100,
5.4253283,1150,
3.4367075,1200,
3.2792697,1250,
2.8410363,1300,
3.2445524,1350,
3.6032693,1400,
3.640708,1450,
5.2150655,1500,
4.0966544,1550,
3.8824177,1600,
3.6824424,1650,
2.1979785,1700,
3.2807236,1750,
2.3950706,1800,
9.59903,1850,
4.45096,1900,
3.0799923,1950,
,1999,0
