scope,bin_index,time_lower,time_upper,time_center,count,heat_oracle_numerator,heat_oracle_denominator,heat_oracle_ratio,heat_oracle_sigma_weighted_numerator,heat_oracle_sigma_weighted_denominator,heat_oracle_sigma_weighted_ratio
overall,-1,0.001021545147523284,0.4997514486312866,0.25038649688940495,4096,225.1199466677777,1934.0177819290675,0.11640014314763433,0.4011216478297698,2.0532108762589996,0.19536310201463195
time_bin,0,0.001,0.0509,0.02595,387,2364.2058756650663,20140.633649356987,0.11738488057645458,0.017259268422505532,1.9777379973775127,0.008726771876822746
time_bin,1,0.0509,0.1008,0.07585,408,1.4457499022400573,174.62795797298386,0.008279028850471552,0.02087865311319281,2.126465127651625,0.009818478912967405
time_bin,2,0.1008,0.1507,0.12575,409,1.2834175514619461,54.712629070693566,0.023457427892362524,0.049970420819150596,2.0494778256296198,0.024382025484944652
time_bin,3,0.1507,0.2006,0.17565,391,1.6474526948310828,28.091498587746088,0.0586459525859281,0.12453783999236322,2.0635631504622562,0.06035087385668663
time_bin,4,0.2006,0.2505,0.22555,408,1.5283579845492816,16.434811870146426,0.09299516147158142,0.18328419211788224,1.9460811841230612,0.09418116400866479
time_bin,5,0.2505,0.3004,0.27545,409,1.8607909147040291,11.383176117286144,0.16346851651039673,0.32140911041243664,1.964134066497481,0.16363908872534083
time_bin,6,0.3004,0.3503,0.32535000000000003,447,2.11335915279615,9.102363252111939,0.23217697337930746,0.49864311645566745,2.1217155047293343,0.23501883876231117
time_bin,7,0.3503,0.4002,0.37525,417,2.101245767274773,6.533315490097869,0.32162012797993556,0.6235729056410378,1.9336865532449514,0.3224787912859103
time_bin,8,0.4002,0.4501,0.42515000000000003,398,2.6619016846477552,6.421701368473165,0.4145165786704105,0.9694204956714738,2.3270981024346504,0.4165791250877898
time_bin,9,0.4501,0.5,0.47505,422,2.6533850425181154,4.720511935781329,0.5620968812269223,1.1461498485331107,2.0227692539592876,0.5666241172212014
