train/loss,step,train/total_time
1.1473393,0,
0.96543413,50,
0.4891415,100,
1.061266,150,
1.0799859,200,
1.4275248,250,
1.0093205,300,
0.7685751,350,
1.0009867,400,
1.2040396,450,
1.1462963,500,
0.93135643,550,
1.0173299,600,
0.8179988,650,
1.1284385,700,
1.0577222,750,
0.94580054,800,
0.8820907,850,
0.71735114,900,
1.0655963,950,
0.9791992,1000,
1.0383087,1050,
1.0263143,1100,
0.5978036,1150,
0.8390974,1200,
0.7560551,1250,
1.3830802,1300,
0.8983563,1350,
0.6028042,1400,
0.86611944,1450,
1.009625,1500,
1.2343113,1550,
0.8363427,1600,
1.2111459,1650,
0.9925597,1700,
0.90025,1750,
1.1904728,1800,
1.219187,1850,
1.0880144,1900,
0.8417922,1950,
,1999,0
