train/loss,step,train/total_time
1.6432358,0,
1.5748022,50,
1.7089167,100,
1.5467095,150,
2.0181646,200,
2.6432934,250,
2.0221176,300,
1.7212057,350,
2.0026786,400,
1.9697689,450,
1.4802003,500,
1.6348605,550,
2.1540344,600,
1.3654258,650,
1.3806334,700,
2.0958643,750,
2.2547832,800,
1.6329267,850,
1.4323096,900,
1.8170447,950,
1.9992983,1000,
2.128981,1050,
1.1850162,1100,
1.426419,1150,
1.5072775,1200,
2.050898,1250,
2.011584,1300,
2.39751,1350,
1.1496251,1400,
1.6981566,1450,
2.0097811,1500,
2.2463734,1550,
1.3261342,1600,
1.9875859,1650,
1.464063,1700,
1.4512346,1750,
1.6752374,1800,
2.320849,1850,
2.6448522,1900,
1.2838924,1950,
,1999,0
