scope,bin_index,time_lower,time_upper,time_center,count,regressor,rmse,relative_rmse,cosine_similarity,sigma_weighted_rmse,sigma_weighted_relative_rmse,sigma_weighted_cosine_similarity
overall,-1,0.001021545147523284,0.4997514486312866,0.25038649688940495,4096,marginal_xt_t,39.16451386841095,1.1912307555651989,0.40553344920633283,2.8777203567360825,0.9214866359923435,0.37822726674023327
overall,-1,0.001021545147523284,0.4997514486312866,0.25038649688940495,4096,transition_x0_xt_t,28.832254473869558,0.8769639882919159,0.8491626394910996,1.5814062422216684,0.5063885776361359,0.7686109621451284
time_bin,0,0.001,0.0509,0.02595,387,marginal_xt_t,126.46032061183114,1.1989860232612566,0.2855238767729761,27.36441200241428,0.948966842421774,0.3611848970804589
time_bin,0,0.001,0.0509,0.02595,387,transition_x0_xt_t,93.64631358599222,0.8878723426946686,0.9140991330961873,10.6490121109098,0.3692956894856619,0.9728891987940083
time_bin,1,0.0509,0.1008,0.07585,408,marginal_xt_t,11.41875600517325,0.8659411016857986,0.4741916101760993,10.376476865339294,0.8584701452570122,0.47679348332114524
time_bin,1,0.0509,0.1008,0.07585,408,transition_x0_xt_t,2.6549412979722984,0.20133741288768123,0.973196654417745,2.5402018896318252,0.2101568300565054,0.9746017738073061
time_bin,2,0.1008,0.1507,0.12575,409,marginal_xt_t,6.2908558302863575,0.8534652130110512,0.4741951419104839,6.128215694690271,0.8496322276840419,0.4698398153959823
time_bin,2,0.1008,0.1507,0.12575,409,transition_x0_xt_t,1.8760081103656288,0.25451348826265807,0.9467704759364733,1.878757754729828,0.2604760041022756,0.9425567823468071
time_bin,3,0.1507,0.2006,0.17565,391,marginal_xt_t,4.522731304688898,0.8662574203870906,0.47217502641525466,4.418922273871482,0.858858766824899,0.4768808959613775
time_bin,3,0.1507,0.2006,0.17565,391,transition_x0_xt_t,1.6572171590236564,0.3174136521682673,0.9197405860550649,1.6422083357344337,0.31917850975521944,0.9203552505762291
time_bin,4,0.2006,0.2505,0.22555,408,marginal_xt_t,3.5232801128978695,0.899843175874161,0.450325155409046,3.5298292002345195,0.9030385066292428,0.45060684066977197
time_bin,4,0.2006,0.2505,0.22555,408,transition_x0_xt_t,1.59413260067894,0.40714030567942366,0.9228775360233958,1.5823929386125757,0.40482461760201316,0.922859839511547
time_bin,5,0.2505,0.3004,0.27545,409,marginal_xt_t,2.88124891203132,0.9106997136397902,0.4781019236828374,2.859598898218108,0.9075789056265936,0.4789236044374208
time_bin,5,0.2505,0.3004,0.27545,409,transition_x0_xt_t,1.530428126624574,0.48373483139318907,0.8797406827048927,1.5281515142206152,0.4850044108536317,0.8789582923453008
time_bin,6,0.3004,0.3503,0.32535000000000003,447,marginal_xt_t,2.682998611379173,0.989778089464548,0.3818717803259494,2.683317407077631,0.9895324299555025,0.38351595500535024
time_bin,6,0.3004,0.3503,0.32535000000000003,447,transition_x0_xt_t,1.4102064244565509,0.5202356104954305,0.8026007657077399,1.4058142258979136,0.5184249777344847,0.8039271818882335
time_bin,7,0.3503,0.4002,0.37525,417,marginal_xt_t,2.2694895052069533,0.993703345558925,0.337921795614931,2.2670496352189535,0.9947608489536734,0.3343473252725836
time_bin,7,0.3503,0.4002,0.37525,417,transition_x0_xt_t,1.523414398857954,0.667031938832316,0.7626994392835148,1.5234706501975468,0.6684851243674466,0.7623074616479252
time_bin,8,0.4002,0.4501,0.42515000000000003,398,marginal_xt_t,1.8846629272742226,0.9434542856943237,0.3972462077828425,1.8794450780471939,0.9439428876128584,0.39614111102676586
time_bin,8,0.4002,0.4501,0.42515000000000003,398,transition_x0_xt_t,1.5043679181030098,0.7530802134724754,0.7428536758557158,1.502770062748818,0.7547595452606547,0.7421657267051031
time_bin,9,0.4501,0.5,0.47505,422,marginal_xt_t,1.5991232577596364,1.014309473773118,0.30696783613395323,1.5954527472027127,1.0145047855028664,0.3051572492955352
time_bin,9,0.4501,0.5,0.47505,422,transition_x0_xt_t,1.5480532819069859,0.9819162482469753,0.643815006332522,1.5472239284046436,0.9838373981072965,0.6420554164235036
