bin_index,time_lower,time_upper,time_center,count,marginal_numerator,marginal_denominator,marginal_ratio,marginal_sigma_weighted_numerator,marginal_sigma_weighted_denominator,marginal_sigma_weighted_ratio,transition_numerator,transition_denominator,transition_ratio,transition_sigma_weighted_numerator,transition_sigma_weighted_denominator,transition_sigma_weighted_ratio
0,0.001,0.0509,0.02595,387,26891.116269049035,20140.633649356987,1.3351673406707445,1.7916479894157473,1.9777379973775127,0.9059076494118039,15343.942274613095,20140.633649356987,0.7618400960833399,0.317971776674935,1.9777379973775127,0.1607754796079217
1,0.0509,0.1008,0.07585,408,130.5166532293933,174.62795797298386,0.7473983818908948,1.565963942982786,2.126465127651625,0.736416466583679,8.355560412810975,174.62795797298386,0.047847781703002905,0.114949384379467,2.126465127651625,0.05405655721514065
2,0.1008,0.1507,0.12575,409,40.791216708349246,54.712629070693566,0.7455539496774655,1.5197774241522226,2.0494778256296198,0.741543722860185,4.874684259358107,54.712629070693566,0.08909614363748854,0.19161987806469913,2.0494778256296198,0.09349692625772243
3,0.1507,0.2006,0.17565,391,21.515781180848574,28.091498587746088,0.7659178845864381,1.5526981288226398,2.0635631504622562,0.7524354759632469,4.142526465716708,28.091498587746088,0.14746548502218682,0.30746966369161616,2.0635631504622562,0.14899939560015224
4,0.2006,0.2505,0.22555,408,13.78638164863089,16.434811870146426,0.8388524157848809,1.648028480246404,1.9460811841230612,0.8468446667195892,3.8455205708089792,16.434811870146426,0.23398628465315402,0.4543818261404925,1.9460811841230612,0.23348554392934517
5,0.2505,0.3004,0.27545,409,9.809530466500652,11.383176117286144,0.8617568907667719,1.674892088276113,1.964134066497481,0.852738165035477,4.01685335666982,11.383176117286144,0.35287632482828635,0.7004923952788492,1.964134066497481,0.356641842153665
6,0.3004,0.3503,0.32535000000000003,447,8.969966662323111,9.102363252111939,0.9854547005018003,2.091654575106026,2.1217155047293343,0.9858317764966039,4.096965170860071,9.102363252111939,0.45009906250538817,0.9551852619059068,2.1217155047293343,0.45019478590547946
7,0.3503,0.4002,0.37525,417,6.43835389471313,6.533315490097869,0.985465020725952,1.9084228784966013,1.9336865532449514,0.9869349639033771,4.414154878195709,6.533315490097869,0.6756377949495298,1.3092997461153169,1.9336865532449514,0.6771002969158348
8,0.4002,0.4501,0.42515000000000003,398,6.100638776286378,6.421701368473165,0.9500034985645621,2.212239489168945,2.3270981024346504,0.9506429820676799,5.468248464942275,6.421701368473165,0.8515264324300322,1.989990540636396,2.3270981024346504,0.855138221290736
9,0.4501,0.5,0.47505,422,4.761164744531896,4.720511935781329,1.008611947012844,2.040716515597863,2.0227692539592876,1.008872614369988,5.222780396069402,4.720511935781329,1.1064012666543392,2.2615310855432407,2.0227692539592876,1.1180371018277242
