scope,bin_index,time_lower,time_upper,time_center,count,bandwidth,rmse,relative_rmse,cosine_similarity,sigma_weighted_rmse,sigma_weighted_relative_rmse,sigma_weighted_cosine_similarity,effective_neighbor_count_mean,effective_neighbor_count_min,effective_neighbor_count_p10,raw_teacher_oracle_mse,rao_blackwell_oracle_mse,variance_reduction_fraction,raw_teacher_oracle_sigma_weighted_mse,rao_blackwell_oracle_sigma_weighted_mse,sigma_weighted_variance_reduction_fraction
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,"space=0.1,time=0.03",23.416958448675267,1.3211376870053433,0.4302051142281672,1.3314694665290068,1.7090807949969526,0.30631118367405125,7.54219239451503,1.0011881514794647,3.101228034896985,484.36698776033245,548.353942986984,-0.1321042862792945,3.137616998566833,0.8159149146309641,0.7399571354938412
time_bin,0,0.001,0.1009,0.05095,387,"space=0.1,time=0.03",76.07306640439131,1.3234263430864872,0.34229493875364286,14.96070043857638,1.7019961202575502,0.5636100398175619,16.124749036294798,1.0421586924561843,4.890762008266308,5038.777688005297,5787.111432166931,-0.14851493566218288,1.2686374226711157,1.9562574290791566,-0.5420145888019852
time_bin,1,0.1009,0.2008,0.15085,408,"space=0.1,time=0.03",2.1638821678913613,0.5937305812998835,0.7988906729434839,2.0537432160687277,0.5947267998223382,0.7979384722407893,11.563540354437094,1.0011881514794647,3.3038246635642237,29.135432202871666,4.682386036518217,0.839288945421939,1.3839567981626182,0.23480265552121934,0.8303396073227529
time_bin,2,0.2008,0.3007,0.25075000000000003,409,"space=0.1,time=0.03",1.5096144604520711,0.7557990819952886,0.7099386178424214,1.5001151613842438,0.7782760026336611,0.7027662099450227,7.987179261983336,1.15753091517699,3.1748402552968362,11.464422018180935,2.278935819205998,0.8012166846611108,1.631713660914001,0.3296226462690352,0.7979898972811831
time_bin,3,0.3007,0.4006,0.35065,391,"space=0.1,time=0.03",1.1344842147642185,0.9220299967288869,0.6553428029777425,1.1285743487184565,0.9340337610434774,0.6524455473370744,6.681098828188773,1.2715111227328437,2.731155391804022,6.776879422694086,1.2870544335491851,0.8100815506116318,1.7864949246016317,0.3402159757017471,0.8095623059924256
time_bin,4,0.4006,0.5005,0.45055,408,"space=0.1,time=0.03",1.0020103923113381,1.2478189267185291,0.5476833366328079,1.00578930003704,1.2677653482999987,0.5409687704873866,6.1787926661059585,1.0938454576570933,3.2519119147722173,4.999887979634956,1.0040248262999216,0.7991905361917466,2.0032174137675467,0.4000126219513134,0.8003149247778654
time_bin,5,0.5005,0.6004,0.55045,409,"space=0.1,time=0.03",1.039292737745781,1.9677712741522453,0.4122062505886075,1.0390743135982945,1.9795799852392644,0.41179785500206906,5.833165901613029,1.052451895817586,3.3340896541035945,5.251212558806623,1.0801293947311208,0.7943085752903375,2.7971983371680307,0.5744306780719202,0.7946407058857691
time_bin,6,0.6004,0.7003,0.65035,447,"space=0.1,time=0.03",0.9384256262081707,2.5178383327547342,0.3321383063505586,0.9399626255766135,2.5324872566869527,0.3314105154352643,5.988089428211958,1.4411198896130128,3.202225348692807,4.6527879970367,0.8806426559241973,0.810727964697221,3.052431315055758,0.5761017602329386,0.8112646284605879
time_bin,7,0.7003,0.8002,0.7502500000000001,417,"space=0.1,time=0.03",1.0678328845787635,4.175113640385943,0.2384660301610835,1.0693495864154745,4.197223592782031,0.23680714386675347,5.771219859783412,1.1889980286838326,3.3427074591682557,5.6677631449866235,1.140267069387803,0.7988153283390872,4.284009630839551,0.8627544546354373,0.79861052449304
time_bin,8,0.8002,0.9001,0.85015,398,"space=0.1,time=0.03",1.1526049313274023,6.530885570356428,0.20997362765894462,1.1516644000284095,6.54839478111877,0.20888148440786714,5.332490325637804,1.1760357550373546,3.091480139336438,6.817652908436753,1.3284981277202457,0.8051384921447626,5.712806899477996,1.1065940143788315,0.8062959186415166
