scope,bin_index,time_lower,time_upper,time_center,count,marginal_heat_oracle_numerator,marginal_heat_oracle_denominator,marginal_heat_oracle_ratio,marginal_heat_oracle_sigma_weighted_numerator,marginal_heat_oracle_sigma_weighted_denominator,marginal_heat_oracle_sigma_weighted_ratio
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,484.36698776033245,1099.4398652034688,0.44055796327367763,3.137616998566833,3.394420550610312,0.924345390484759
time_bin,0,0.001,0.1009,0.05095,387,5038.777688005297,11527.290065717461,0.43711728075503326,1.2686374226711157,1.9646976851561493,0.6457163490336805
time_bin,1,0.1009,0.2008,0.15085,408,29.135432202871666,44.26941997608437,0.6581390090954452,1.3839567981626182,2.082045918451726,0.6647100235640677
time_bin,2,0.2008,0.3007,0.25075000000000003,409,11.464422018180935,14.542500638867399,0.7883391099641318,1.631713660914001,2.0581668187952293,0.7927995136668016
time_bin,3,0.3007,0.4006,0.35065,391,6.776879422694086,7.870051919674041,0.8610971672425506,1.7864949246016317,2.0801301052468895,0.8588380657089779
time_bin,4,0.4006,0.5005,0.45055,408,4.999887979634956,5.480006389125947,0.9123872520354046,2.0032174137675467,2.1800621260243975,0.9188808798911814
time_bin,5,0.5005,0.6004,0.55045,409,5.251212558806623,5.552820870061584,0.9456837654645154,2.7971983371680307,2.953233322593268,0.9471646910851365
time_bin,6,0.6004,0.7003,0.65035,447,4.6527879970367,4.794745484127493,0.9703931111120165,3.052431315055758,3.1436559997584155,0.9709813368830809
time_bin,7,0.7003,0.8002,0.7502500000000001,417,5.6677631449866235,5.705058036805324,0.9934628356954956,4.284009630839551,4.310965714868695,0.9937470869059242
time_bin,8,0.8002,0.9001,0.85015,398,6.817652908436753,6.8707809558221795,0.9922675373222193,5.712806899477996,5.755800395798868,0.9925304035425625
time_bin,9,0.9001,1.0,0.9500500000000001,422,8.032872639468142,8.041844627557818,0.9988843358092526,7.213836451354199,7.221752292650504,0.9989038877318737
