scope,bin_index,time_lower,time_upper,time_center,count,heat_oracle_numerator,heat_oracle_denominator,heat_oracle_ratio,heat_oracle_sigma_weighted_numerator,heat_oracle_sigma_weighted_denominator,heat_oracle_sigma_weighted_ratio
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,141.21289549350269,1099.4398651784788,0.12844076330568052,2.386426937153221,3.3944204679858485,0.7030439960606348
time_bin,0,0.001,0.1009,0.05095,387,1456.1393240495486,11527.290063385544,0.12632104475912007,0.020587170664088394,1.9646976863714243,0.01047854369764396
time_bin,1,0.1009,0.2008,0.15085,408,1.5157659398448917,44.26942098478403,0.03423957001885081,0.0863049949507504,2.0820459554833746,0.041452012290570904
time_bin,2,0.2008,0.3007,0.25075000000000003,409,1.671534525471756,14.542504254873188,0.11494131237831422,0.2494876636202697,2.0581672869648573,0.12121835964850122
time_bin,3,0.3007,0.4006,0.35065,391,2.3499153967713675,7.8700506646014095,0.29858961446781057,0.6314029984471018,2.0801297952231494,0.30354019103118757
time_bin,4,0.4006,0.5005,0.45055,408,2.5969899784847836,5.480006489207388,0.4739027187030535,1.0409363521464698,2.1800621626570043,0.47748012199019224
time_bin,5,0.5005,0.6004,0.55045,409,3.6909674624127375,5.5528202965082345,0.6647014055338158,1.9680859829821953,2.9532330117434626,0.6664174375987173
time_bin,6,0.6004,0.7003,0.65035,447,3.965052502356204,4.794745545332008,0.8269578555522844,2.606881348800328,3.143656037422656,0.8292514541906054
time_bin,7,0.7003,0.8002,0.7502500000000001,417,5.472212924943533,5.705057145167201,0.959186345747163,4.13676186082925,4.3109650529279735,0.9595906717971854
time_bin,8,0.8002,0.9001,0.85015,398,6.70683170786126,6.870780956296847,0.9761381916786744,5.6214299853573175,5.755800402090643,0.976654780028323
time_bin,9,0.9001,1.0,0.9500500000000001,422,7.982006180965533,8.041844481462388,0.992559131109737,7.169246547421665,7.221752161393595,0.9927295173351541
