model,generated_count,s2_rbf_mmd,nearest_neighbor_geodesic_mean,nearest_neighbor_geodesic_median,nearest_neighbor_geodesic_max
Heat,16384,-0.00016848761033916304,0.014196851544484563,0.009986354788775083,0.28314749141383316
Malliavin,16384,-2.4017949084909063e-05,0.01582654253969628,0.010419640704946186,0.3385157959002149
