scope,bin_index,time_lower,time_upper,time_center,count,regressor,rmse,relative_rmse,cosine_similarity,sigma_weighted_rmse,sigma_weighted_relative_rmse,sigma_weighted_cosine_similarity
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,marginal_xt_t,28.782635209668094,1.1556395114586775,0.29691997143591076,1.4611885716748718,0.9724161649886875,0.21280885255332088
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,transition_x0_xt_t,25.278549436348484,1.0149484336025345,0.5465240252602683,1.8198017527096944,1.2110720516936857,0.3605292436234663
time_bin,0,0.001,0.1009,0.05095,387,marginal_xt_t,93.33274796643148,1.1583065554904934,0.3546883635162109,13.443463445904555,0.90983521320695,0.44481326739837795
time_bin,0,0.001,0.1009,0.05095,387,transition_x0_xt_t,82.04157246822119,1.0181773630716164,0.8814245052730677,6.136961149654721,0.41534113426253105,0.9450176593322401
time_bin,1,0.1009,0.2008,0.15085,408,marginal_xt_t,5.540974538905393,0.8413304568507952,0.5200888541259149,5.068242571793458,0.8398430154242935,0.5212449610595835
time_bin,1,0.1009,0.2008,0.15085,408,transition_x0_xt_t,2.250982818394084,0.3417847148846321,0.9124701914131005,2.1638687226136013,0.35856808494054465,0.9039780452069638
time_bin,2,0.2008,0.3007,0.25075000000000003,409,marginal_xt_t,3.31000606922524,0.9079707853481256,0.4375028774011828,3.255409987962047,0.9105375875426266,0.4348949326638441
time_bin,2,0.2008,0.3007,0.25075000000000003,409,transition_x0_xt_t,1.8786401124612655,0.5153314835755586,0.8475344488988223,1.8548177363510974,0.5187921869237976,0.8431293196987226
time_bin,3,0.3007,0.4006,0.35065,391,marginal_xt_t,2.360772916787276,0.9309489775200053,0.3880672264649198,2.3240396940655352,0.9288855884444795,0.38975001344067034
time_bin,3,0.3007,0.4006,0.35065,391,transition_x0_xt_t,1.6895813449086938,0.6662707854257189,0.7373056520306419,1.6855388534446822,0.6736858900155458,0.7306082486215009
time_bin,4,0.4006,0.5005,0.45055,408,marginal_xt_t,1.718452186018835,0.9709341068195099,0.35688928985597396,1.71095229612513,0.9735977795672941,0.35273221599185045
time_bin,4,0.4006,0.5005,0.45055,408,transition_x0_xt_t,1.682435111392526,0.9505842789528626,0.6076819919177832,1.6868068996519097,0.9598581186507749,0.6055970575275293
time_bin,5,0.5005,0.6004,0.55045,409,marginal_xt_t,1.3060997303669426,1.0389837748500244,0.2682816632763569,1.2994228345831047,1.038910310144632,0.26709181225598283
time_bin,5,0.5005,0.6004,0.55045,409,transition_x0_xt_t,1.6800352783241486,1.336444189345355,0.5275415499426518,1.6783910176255714,1.341901716868612,0.527246082861522
time_bin,6,0.6004,0.7003,0.65035,447,marginal_xt_t,0.9561633975660061,1.0732118683041725,0.2637907993168688,0.9549470032247086,1.0759552577737856,0.2598323668020824
time_bin,6,0.6004,0.7003,0.65035,447,transition_x0_xt_t,1.6604409798307163,1.8637033907689589,0.3995554676571446,1.6584158365750667,1.8685657244985054,0.40120903268291697
time_bin,7,0.7003,0.8002,0.7502500000000001,417,marginal_xt_t,0.724782548792343,1.1848985762049944,0.2096797465628304,0.7244064951333996,1.188197212250961,0.20921816652658434
time_bin,7,0.7003,0.8002,0.7502500000000001,417,transition_x0_xt_t,1.8276915362687685,2.9879708095555366,0.2706402936635129,1.8297162570719994,3.0011654650651054,0.270536187581586
time_bin,8,0.8002,0.9001,0.85015,398,marginal_xt_t,0.6878831399465343,1.6118609380113695,0.11860408586536116,0.6871928421479272,1.6148961066615988,0.11886187988319523
time_bin,8,0.8002,0.9001,0.85015,398,transition_x0_xt_t,1.8653393623137788,4.370898892044819,0.2553698594213819,1.8643661656413597,4.38124130175055,0.2557535718120663
time_bin,9,0.9001,1.0,0.9500500000000001,422,marginal_xt_t,0.7342273611165903,2.7935021905913717,0.06672320641102943,0.734591333710177,2.801215180632706,0.0662521072416024
time_bin,9,0.9001,1.0,0.9500500000000001,422,transition_x0_xt_t,1.9417286784307333,7.387661648132197,0.07924393153103954,1.9427726694845038,7.408369857553254,0.07862228822991262
