scope,bin_index,time_lower,time_upper,time_center,count,bandwidth,rmse,relative_rmse,cosine_similarity,sigma_weighted_rmse,sigma_weighted_relative_rmse,sigma_weighted_cosine_similarity,effective_neighbor_count_mean,effective_neighbor_count_min,effective_neighbor_count_p10,raw_teacher_oracle_mse,rao_blackwell_oracle_mse,variance_reduction_fraction,raw_teacher_oracle_sigma_weighted_mse,rao_blackwell_oracle_sigma_weighted_mse,sigma_weighted_variance_reduction_fraction
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,"space=0.3,time=0.06",18.454355691949814,1.041157622902804,0.6666530155669117,0.6098927376369834,0.7828613356195016,0.6354426903867878,91.18971007625053,2.8824696428406513,49.236092327515905,484.3669882926107,340.5632440050005,0.2968900601619202,3.1376174860604644,0.17119432846962934,0.9454381138922836
time_bin,0,0.001,0.1009,0.05095,387,"space=0.3,time=0.06",59.958496551704265,1.0430847286550977,0.19659172391143825,10.173605228319936,1.1573947823314714,0.30875130053288385,107.5723387815018,2.8824696428406513,40.47885831856432,5038.777684224456,3595.021308740732,0.28652908819752276,1.2686373564542217,0.9046319308611096,0.28692630787826245
time_bin,1,0.1009,0.2008,0.15085,408,"space=0.3,time=0.06",2.7084958339823295,0.7431628347516275,0.7418624914580888,2.3495372441953357,0.6803833874511633,0.7782338874409803,130.84421615299377,7.140895126459195,59.69316070603164,29.135432473369153,7.335949682699636,0.7482120889440347,1.3839568127710635,0.3073090768324145,0.7779489419206758
time_bin,2,0.2008,0.3007,0.25075000000000003,409,"space=0.3,time=0.06",0.9482068815834541,0.4747264347400195,0.854158372181238,0.9100784833252618,0.4721585797664409,0.8528177438261966,108.21361157916326,23.113047144816854,51.033406879331054,11.464425702032566,0.8990962902822185,0.9215751130613925,1.6317142109273448,0.12131808155833904,0.9256499207996172
time_bin,3,0.3007,0.4006,0.35065,391,"space=0.3,time=0.06",0.49618604122285803,0.4032655615756749,0.8849400948710454,0.4828222960524178,0.3995946971589289,0.8867259542940585,97.78826422360792,18.910890133027756,48.351394513076684,6.776879519213788,0.24620058750441176,0.9636705084629158,1.786494945649237,0.0622685836058766,0.9651448309949202
time_bin,4,0.4006,0.5005,0.45055,408,"space=0.3,time=0.06",0.3062850886184418,0.38142152365122634,0.9097236796051871,0.30426456486707676,0.3835157841108985,0.9097904432826186,89.48258845596716,24.775027754579703,53.834060825504466,4.999888017957758,0.09381055551000672,0.9812374687222097,2.003217427381157,0.03660685561858213,0.9817259699643794
time_bin,5,0.5005,0.6004,0.55045,409,"space=0.3,time=0.06",0.25233133139261643,0.4777579284927481,0.8481868200202224,0.2522852427619171,0.48063820903554266,0.8473572878604897,84.10701331369648,35.570399315372164,49.929571158917234,5.251211712854685,0.06367110080237041,0.987874969785496,2.7971978734636727,0.03386320836350903,0.9878938817436907
time_bin,6,0.6004,0.7003,0.65035,447,"space=0.3,time=0.06",0.2538671119753778,0.681136925618815,0.7742801748557586,0.25360795611744663,0.6832813343699365,0.7738844721723139,84.96352858133109,41.44303601941153,57.094085410757124,4.6527879773338405,0.06444851054271901,0.9861484102180961,3.0524313039322175,0.041937619860963456,0.9862609128436248
time_bin,7,0.7003,0.8002,0.7502500000000001,417,"space=0.3,time=0.06",0.28203844596714106,1.1027404942068055,0.628791880110477,0.28276270516436974,1.10985061606752,0.6244949725120235,82.07018634764196,43.379152150379554,58.02062131476231,5.667762624426995,0.07954568500355995,0.9859652405835796,4.284009246823156,0.06032426713554896,0.9859187355770834
time_bin,8,0.8002,0.9001,0.85015,398,"space=0.3,time=0.06",0.29237511251686826,1.6566547232005202,0.5042330238198247,0.2919316877277296,1.6599314351579342,0.5034199605334334,75.49144278890743,46.335627713934706,60.62211252228916,6.81765983472063,0.08548320641925139,0.987461503159996,5.71281272488304,0.07110479822831835,0.9875534519459837
time_bin,9,0.9001,1.0,0.9500500000000001,422,"space=0.3,time=0.06",0.3656492665545383,3.3248705125655653,0.30667687313428454,0.36672854014535744,3.3412248371804383,0.304818697218653,54.14055681992362,30.293014735460986,41.053458284188814,8.032872137519055,0.1336993861318718,0.9833559673705046,7.213836010480064,0.1203424236781209,0.9833178321025777
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,"space=0.3,time=0.1",18.112073349326604,1.0218467417126986,0.7130539347628111,0.6411221976500666,0.82294762500744,0.721430816952429,143.18593382390782,5.235101822174182,76.42485359487141,484.3669882926107,328.04720101138696,0.3227300601946931,3.1376174860604644,0.18917514535657576,0.9397073908485974
time_bin,0,0.001,0.1009,0.05095,387,"space=0.3,time=0.1",58.77731082862498,1.0225359013777664,0.18933769140065237,10.294911996380911,1.1711951822157172,0.2733734073077212,149.18182201935423,5.235101822174182,60.34544166131003,5038.777684224456,3454.772268244795,0.3143630291421201,1.2686373564542217,0.9263336213337431,0.2698200085948915
time_bin,1,0.1009,0.2008,0.15085,408,"space=0.3,time=0.1",3.86622728406248,1.0608236468997663,0.64115913604406,3.34155109835301,0.9676526138308619,0.6834798568004973,187.19459534646987,15.419857709046953,87.46918972231225,29.135432473369153,14.94771341202914,0.48695755861659273,1.3839568127710635,0.6215941719019847,0.550857250981731
