scope,bin_index,time_lower,time_upper,time_center,count,marginal_heat_oracle_numerator,marginal_heat_oracle_denominator,marginal_heat_oracle_ratio,marginal_heat_oracle_sigma_weighted_numerator,marginal_heat_oracle_sigma_weighted_denominator,marginal_heat_oracle_sigma_weighted_ratio
overall,-1,0.0010431334376335144,0.999502420425415,0.5002727769315243,4096,484.3669882926107,1099.4398654220665,0.44055796367021893,3.1376174860604644,3.3944209991664587,0.9243454119531698
time_bin,0,0.001,0.1009,0.05095,387,5038.777684224456,11527.290060607249,0.4371172806208231,1.2686373564542217,1.9646975959465844,0.6457163446498917
time_bin,1,0.1009,0.2008,0.15085,408,29.135432473369153,44.26942044395758,0.658139008249983,1.3839568127710635,2.082045943725957,0.6647100225114545
time_bin,2,0.2008,0.3007,0.25075000000000003,409,11.464425702032566,14.542502586337354,0.788339257709328,1.6317142109273448,2.058167171905179,0.7927996448844936
time_bin,3,0.3007,0.4006,0.35065,391,6.776879519213788,7.870052111511296,0.8610971585169649,1.786494945649237,2.0801301470147173,0.8588380585824069
time_bin,4,0.4006,0.5005,0.45055,408,4.999888017957758,5.480006428408378,0.9123872524883263,2.003217427381157,2.1800621399705604,0.918880880257569
time_bin,5,0.5005,0.6004,0.55045,409,5.251211712854685,5.552819452499493,0.9456838545388174,2.7971978734636727,2.953232549678707,0.9471647819594642
time_bin,6,0.6004,0.7003,0.65035,447,4.6527879773338405,4.794745539948769,0.9703930957052673,3.0524313039322175,3.1436560351886427,0.9709813224013345
time_bin,7,0.7003,0.8002,0.7502500000000001,417,5.667762624426995,5.705057383692133,0.9934628581815191,4.284009246823156,4.310965233259666,0.9937471088455986
time_bin,8,0.8002,0.9001,0.85015,398,6.81765983472063,6.870788142510212,0.9922675075100124,5.71281272488304,5.755806440228824,0.9925303733338576
time_bin,9,0.9001,1.0,0.9500500000000001,422,8.032872137519055,8.041844062306128,0.9988843436024866,7.213836010480064,7.221751796175517,0.9989038953556
